Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
RNA_float_set: NodeSocket.default_value not found.
Fra:1 Mem:116.81M (Peak 116.81M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Floor foundation
Fra:1 Mem:116.81M (Peak 116.81M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | FloorTile_00_00
Fra:1 Mem:116.86M (Peak 116.86M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Back wall mass
Fra:1 Mem:116.86M (Peak 116.86M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneWall_Back_00_00
Fra:1 Mem:116.88M (Peak 116.88M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneWall_Side_-1_00_00
Fra:1 Mem:117.06M (Peak 117.06M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_square_plinth
Fra:1 Mem:117.06M (Peak 117.06M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot
Fra:1 Mem:117.07M (Peak 117.07M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module
Fra:1 Mem:117.08M (Peak 117.08M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.001
Fra:1 Mem:117.08M (Peak 117.08M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.002
Fra:1 Mem:117.08M (Peak 117.08M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital
Fra:1 Mem:117.08M (Peak 117.08M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck
Fra:1 Mem:117.10M (Peak 117.10M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot.001
Fra:1 Mem:117.10M (Peak 117.10M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.008
Fra:1 Mem:117.11M (Peak 117.11M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.009
Fra:1 Mem:117.11M (Peak 117.11M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.011
Fra:1 Mem:117.12M (Peak 117.12M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.013
Fra:1 Mem:117.12M (Peak 117.12M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.003
Fra:1 Mem:117.12M (Peak 117.12M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.005
Fra:1 Mem:117.13M (Peak 117.13M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck.001
Fra:1 Mem:117.14M (Peak 117.14M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.014
Fra:1 Mem:117.14M (Peak 117.14M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.015
Fra:1 Mem:117.14M (Peak 117.14M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.016
Fra:1 Mem:117.15M (Peak 117.15M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.017
Fra:1 Mem:117.15M (Peak 117.15M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.018
Fra:1 Mem:117.16M (Peak 117.16M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.007
Fra:1 Mem:117.16M (Peak 117.16M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.008
Fra:1 Mem:117.17M (Peak 117.17M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck.002
Fra:1 Mem:117.17M (Peak 117.17M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.022
Fra:1 Mem:117.18M (Peak 117.18M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.023
Fra:1 Mem:117.19M (Peak 117.19M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.024
Fra:1 Mem:117.19M (Peak 117.19M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.027
Fra:1 Mem:117.20M (Peak 117.20M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.009
Fra:1 Mem:117.20M (Peak 117.20M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.011
Fra:1 Mem:117.20M (Peak 117.20M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck.003
Fra:1 Mem:117.21M (Peak 117.21M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.028
Fra:1 Mem:117.22M (Peak 117.22M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.029
Fra:1 Mem:117.22M (Peak 117.22M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.030
Fra:1 Mem:117.23M (Peak 117.23M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.031
Fra:1 Mem:117.23M (Peak 117.23M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.032
Fra:1 Mem:117.23M (Peak 117.23M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.013
Fra:1 Mem:117.24M (Peak 117.24M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.014
Fra:1 Mem:117.24M (Peak 117.24M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck.004
Fra:1 Mem:117.24M (Peak 117.24M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot.005
Fra:1 Mem:117.25M (Peak 117.25M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.035
Fra:1 Mem:117.25M (Peak 117.25M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.036
Fra:1 Mem:117.26M (Peak 117.26M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.038
Fra:1 Mem:117.26M (Peak 117.26M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.039
Fra:1 Mem:117.26M (Peak 117.26M) | Time:00:00.07 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.040
