Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
Read blend: "/Users/jiayaochen/Desktop/avalon/assets/chapel/black_chapel.blend"
Fra:1 Mem:114.13M (Peak 114.13M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Floor foundation
Fra:1 Mem:114.14M (Peak 114.14M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FloorTile_00_00
Fra:1 Mem:114.17M (Peak 114.17M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Back wall mass
Fra:1 Mem:114.18M (Peak 114.18M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneWall_Back_00_00
Fra:1 Mem:114.19M (Peak 114.19M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneWall_Side_-1_00_00
Fra:1 Mem:114.39M (Peak 114.39M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_square_plinth
Fra:1 Mem:114.39M (Peak 114.39M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.001
Fra:1 Mem:114.42M (Peak 114.42M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.004
Fra:1 Mem:114.41M (Peak 114.42M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.001
Fra:1 Mem:114.42M (Peak 114.42M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.002
Fra:1 Mem:114.42M (Peak 114.42M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital
Fra:1 Mem:114.43M (Peak 114.43M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck
Fra:1 Mem:114.43M (Peak 114.43M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot.001
Fra:1 Mem:114.44M (Peak 114.44M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.007
Fra:1 Mem:114.45M (Peak 114.45M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.008
Fra:1 Mem:114.46M (Peak 114.46M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.013
Fra:1 Mem:114.46M (Peak 114.46M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.003
